country,region,year,pct_renouvelable,pct_nucleaire,carbon_intensity_elec,rang_renouvelable,rang_carbone
Ireland,Nord,2013,22.3,0.0,462.92,14,14
Denmark,Nord,2013,46.1,0.0,472.41,7,15
Bulgaria,Est,2013,16.1,32.9,487.45,16,16
Netherlands,Ouest,2013,12.0,2.9,500.6,19,17
United Kingdom,Autre,2013,14.9,19.7,506.92,17,18
Czechia,Est,2013,10.8,35.8,527.53,20,19
Germany,Autre,2013,24.1,15.5,538.04,13,20
Greece,Sud,2013,25.5,0.0,636.69,12,21
Poland,Est,2013,10.4,0.0,863.23,21,22
Norway,Nord,2019,97.9,0.0,33.48,1,1
Switzerland,Ouest,2019,59.9,37.4,35.28,5,2
Sweden,Nord,2019,58.7,39.3,42.34,6,3
France,Ouest,2019,20.0,70.6,59.79,17,4
Austria,Ouest,2019,77.3,0.0,152.78,3,5
Belgium,Ouest,2019,21.0,47.0,156.54,16,6
Finland,Nord,2019,46.5,34.8,171.55,8,7
Denmark,Nord,2019,78.5,0.0,204.29,2,8
Croatia,Est,2019,66.0,0.0,242.69,4,9
Spain,Ouest,2019,37.3,21.6,246.67,13,10
Hungary,Est,2019,13.7,47.5,266.04,21,11
United Kingdom,Autre,2019,36.6,17.2,268.41,14,12
Portugal,Sud,2019,53.1,0.0,300.97,7,13
Ireland,Nord,2019,38.7,0.0,311.95,12,14
Romania,Est,2019,41.9,19.2,328.97,9,15
Italy,Ouest,2019,39.9,0.0,351.32,11,16
Germany,Autre,2019,40.2,12.5,392.51,10,17
Netherlands,Ouest,2019,19.0,3.3,410.0,18,18
Bulgaria,Est,2019,17.1,37.9,438.7,19,19
Greece,Sud,2019,33.6,0.0,496.98,15,20
Czechia,Est,2019,11.7,35.3,503.5,22,21
Poland,Est,2019,15.6,0.0,771.66,20,22
Norway,Nord,2008,99.4,0.0,27.48,1,1
Switzerland,Ouest,2008,55.7,41.3,34.16,3,2
Sweden,Nord,2008,54.3,42.6,47.83,4,3
France,Ouest,2008,12.8,77.5,76.03,13,4
Belgium,Ouest,2008,5.3,54.9,218.28,20,5
Austria,Ouest,2008,69.2,0.0,220.41,2,6
Finland,Nord,2008,35.9,29.7,246.15,6,7
Hungary,Est,2008,5.9,37.0,376.06,18,8
Croatia,Est,2008,45.7,0.0,382.63,5,9
Spain,Ouest,2008,20.1,19.0,390.23,10,10
Portugal,Sud,2008,32.3,0.0,471.55,7,11
Italy,Ouest,2008,18.7,0.0,485.51,11,12
Netherlands,Ouest,2008,9.0,3.9,494.4,16,13
Romania,Est,2008,26.5,17.3,497.53,9,14
Ireland,Nord,2008,12.2,0.0,516.87,14,15
Germany,Autre,2008,14.9,23.5,525.41,12,16
Bulgaria,Est,2008,6.6,35.4,550.91,17,17
United Kingdom,Autre,2008,5.6,13.5,554.38,19,18
Denmark,Nord,2008,27.7,0.0,577.3,8,19
Czechia,Est,2008,4.5,31.9,627.52,21,20
Greece,Sud,2008,9.2,0.0,758.93,15,21
Poland,Est,2008,4.3,0.0,918.51,22,22
Switzerland,Ouest,2009,55.5,41.5,34.05,5,1
Norway,Nord,2009,96.6,0.0,39.09,1,2
Sweden,Nord,2009,58.4,38.2,51.1,3,3
France,Ouest,2009,12.9,77.5,75.6,15,4
Austria,Ouest,2009,71.3,0.0,195.89,2,5
Belgium,Ouest,2009,6.1,52.6,216.91,20,6
Finland,Nord,2009,30.1,32.7,276.16,7,7
Croatia,Est,2009,56.0,0.0,301.87,4,8
Hungary,Est,2009,8.0,43.0,343.92,18,9
Spain,Ouest,2009,25.5,18.1,355.02,10,10
Portugal,Sud,2009,37.0,0.0,452.82,6,11
Italy,Ouest,2009,24.2,0.0,458.58,11,12
Romania,Est,2009,27.0,20.4,469.7,9,13
Netherlands,Ouest,2009,9.6,3.8,486.69,16,14
Ireland,Nord,2009,14.9,0.0,486.78,13,15
United Kingdom,Autre,2009,6.7,18.3,504.65,19,16
Germany,Autre,2009,16.3,22.9,521.55,12,17
Bulgaria,Est,2009,8.7,36.1,528.48,17,18
Denmark,Nord,2009,27.8,0.0,582.9,8,19
Czechia,Est,2009,5.7,33.3,603.14,22,20
Greece,Sud,2009,13.5,0.0,747.1,14,21
Poland,Est,2009,5.8,0.0,904.81,21,22
Norway,Nord,2020,98.5,0.0,30.39,1,1
Switzerland,Ouest,2020,62.2,35.1,36.64,6,2
Sweden,Nord,2020,68.5,30.0,38.71,4,3
France,Ouest,2020,23.7,67.1,59.08,18,4
Finland,Nord,2020,51.9,33.6,130.27,8,5
Austria,Ouest,2020,80.3,0.0,133.28,3,6
Belgium,Ouest,2020,26.6,39.0,166.61,17,7
Denmark,Nord,2020,82.1,0.0,188.94,2,8
Spain,Ouest,2020,43.9,22.5,199.1,11,9
Croatia,Est,2020,64.6,0.0,226.76,5,10
United Kingdom,Autre,2020,43.1,16.2,242.54,12,11
Portugal,Sud,2020,58.6,0.0,248.3,7,12
Hungary,Est,2020,15.8,46.0,257.45,21,13
Romania,Est,2020,44.6,20.8,277.85,9,14
Ireland,Nord,2020,42.4,0.0,291.05,13,15
Italy,Ouest,2020,42.2,0.0,334.2,14,16
Netherlands,Ouest,2020,26.8,3.4,342.9,16,17
Germany,Autre,2020,44.4,11.4,355.61,10,18
